상호,주소,휘발유_편차
대양오일할인제2주유소,대구 남구 중앙대로48길 6 (대명동),-55.67776165316458
㈜대웅에너지,대구광역시 남구 대명로 66,-55.66902774794249
상평주유소,충북 음성군 감곡면 감노로 239,-55.66222302099909
두류공원주유소,대구 남구 성당로 156 (대명동),-55.65837058718257
거창소만주유소,경남 거창군 거창읍 창동로 180,-55.6549220586738
상주IC충전소,경북 상주시 영남제일로 1339 (외답동),-55.62246812221136
㈜태산이엔엘 감영셀프주유소,대구 중구 태평로 130 (태평로2가),-55.61697969191484
금강주유소,경기도 여주시 여주남로 377 (연라동),-55.60805735494708
창성주유소,경북 영천시 최무선로 188 (화룡동),-55.56305828796526
불만제로주유소,경북 칠곡군 가산면 송신로 11,-55.50904684001559
은현농협 에너지주유소,경기 양주시 은현면 화합로 1148,-55.48146343164626
청풍주유소 에스지에너지㈜,충북 음성군 생극면 오신로 246,-55.45125211188367
늘푸른주유소, ,-55.44895778392636
(주)대상오일주유소,대구 서구 북비산로 154 (평리동),-55.42705980293168
㈜블루에너지,서울 영등포구 가마산로 367 (대림동),-55.42099248109094
해양셀프주유소,경남 통영시 용남면 남해안대로 48,-55.3778615441941
천지인주유소,대전 중구 대종로 44 (옥계동),-55.35990345303886
사천신흥주유소,경남 사천시 용현면 진삼로 585,-55.34546665664056
문화주유소, ,-55.332220094909644
엔시네트웍스㈜ 의창주유소,경남 창원시 의창구 천주로 14 (서상동),-55.323804461559625
KK(주) KK주유소,대구광역시 서구 북비산로 214KK주유소,-55.3177899479081
죽산에너지 주유소, ,-55.27548173519997
한마음주유소,울산 울주군 웅촌면 웅촌로 464,-55.21412010083672
노다지주유소,인천광역시 연수구  앵고개로 113 (동춘동),-55.13975665745384
(주)강서주유소,서울 영등포구 도신로 151 (도림동),-55.09365560936331
YK에너지(주),부산 남구 신선로 387 (용당동),-55.02266554778132
베스트주유소,경기 부천시 오정구 벌말로 217 (대장동),-55.00864787414214
비전에너지(주)코리아주유소,경기 고양시 일산동구 고봉로 788 (설문동),-54.99970310800307
김여사네self주유소,경북 김천시 무실7길 7,-54.94727770851753
금호주유소,경남 진주시 명석면 진주대로 1964,-54.93125503828817
대신주유소,경북 김천시 아포읍 아포대로 623,-54.83193936902862
꿈에그린주유소, 서울특별시 영등포구 신길로 137 (신길동),-54.818572742721585
동대구주유소,대구 동구 안심로 503 (괴전동),-54.79258104616868
(주)대원에너지 매월우리주유소,광주 서구 회재로 783 (매월동),-54.776676155203745
사량도주유소,경남 통영시 도산면 남해안대로 1749,-54.74138047007965
우리셀프주유소,대구 남구 성당로 156 (대명동),-54.65500536142724
대림에너지(주)덕양제2주유소,경기 고양시 일산서구 경의로 940,-54.65404777375088
한국주유소,충북 영동군 영동읍 대학로 144,-54.630096462247295
호명네트웍스(주)노원주유소,대구 북구 노원로 159 (노원동3가),-54.6180847341537
동백주유소,경남 함안군 산인면 함마대로 2113,-54.59344991151303
(주)대상오일이현주유소,대구 서구 북비산로 154 (평리동),-54.57683128216513
평동제일주유소,광주 광산구 동곡로 552 (장록동),-54.57452981787145
(주)우진피에스티 태영주유소김해,경남 김해시 삼안로 151 (삼방동),-54.558607287713734
SK행복한주유소,전라북도 전주시 덕진구 온고을로 377 (팔복동3가),-54.52510136139898
보문self주유소,경남 창원시 마산회원구 삼호로 267 (회성동),-54.504452426776794
신송석주유소, 전라남도 화순군 이양면 학포로 1085,-54.48760754465294
북항대교주유소,부산 남구  신선로 316 (용당동),-54.459357471441294
동부셀프주유소,경남 창원시 마산회원구  팔용로 96 (합성동),-54.38563843897099
광신리소스(주) 광안대교주유소,부산 남구 유엔로 202,-54.37729170178938
태양주유소,대구 서구 국채보상로 372,-54.354462070382574
롯데마트충주점주유소,충청북도 충주시  봉계1길 49 (칠금동),-54.338781818610684
(주)버들주유소,광주광역시 광산구 동곡로 510(월전동),-54.33513385928225
의창주유소,경상남도 창원시 의창구  천주로 14 (서상동),-54.33465137427314
착한2주유소,전북 전주시 덕진구 온고을로 566,-54.32858411803105
(주)대상오일두산주유소,대구광역시 수성구 지범로 43-5 (두산동),-54.32222215013865
아토주유소,대구광역시 달서구 구마로 42 (본동),-54.29480031125984
(주)오일할인마트 비산점,대구광역시 서구 국채보상로 372 (비산동),-54.20133168536873
대림주유소,경남 창원시 의창구 팔용로 501 (팔용동),-54.12614101665783
(주)통영알뜰주유소,경남 통영시 도산면 남해안대로 1574,-53.989386792766574
하늘주유소,부산 사상구 백양대로 333 (주례동),-53.973764931630704
부흥로주유소,인천광역시 부평구  장제로 200 (부평동),-53.90803128061802
비케이에너지(주) 석산주유소,경남 양산시 동면 양산대로 602,-53.8798033128856
지에스칼텍스(주)이마트 통영점,경상남도 통영시 광도면 죽림4로 9 (광도면),-53.862137237035355
미니주유소,대구 동구 해동로 171 (검사동),-53.81867945551391
태흥주유소,충북 진천군 문백면 생거진천로 742,-53.817317956848505
(주)오일할인마트,대구광역시 남구 대명로 66 (대명동),-53.81363217357349
행운주유소,대구 중구 태평로 105 (태평로3가),-53.8001766474286
롯데마트 여수점 주유소,전라남도 여수시  국포1로 36 (국동),-53.7894305533419
장유농협주유소,경남 김해시 장유로 415 (신문동),-53.72790010191544
문막농협공단클린주유소,강원 원주시 문막읍 원문로 2075,-53.70048248651708
봉곡주유소,경남 진주시 진주대로 1150 (봉곡동),-53.67072990521645
일호self주유소,대구 동구 화랑로 103,-53.646445232077326
구봉산셀프주유소,대전 서구 구봉로 208,-53.60992792998081
브라보주유소,대구 서구 북비산로 95,-53.609698943517515
세원주유소,부산 사상구 학감대로 178,-53.56065679157683
세기상사㈜ 서진주IC주유소,경남 진주시 진주대로 1314,-53.55636568377961
혜성주유소,인천 서구 서곶로 278-1,-53.5541038661453
(주)HC대하에너지 연경주유소,대구 북구 동화천로 207,-53.51774739179437
패밀리주유소, ,-53.512135674042646
우리주유소,경기 고양시 일산동구 고봉로 719,-53.4509839362595
범일로self주유소,강원 강릉시 범일로 475 (내곡동),-53.44022217660795
오원주유소,경기 수원시 권선구 권선로 644 (권선동),-53.41007665476274
보문주유소,인천 남동구 경인로 558 (간석동),-53.366106577359126
