상호,주소,휘발유_편차
연대앞주유소,서울 서대문구 성산로 490 (대신동),167.42696070183317
(주)삼표에너지 목동주유소,서울 양천구 목동서로 129 (목동),167.1117155301269
아시아주유소,서울 송파구 도곡로 438 (잠실동),166.70429943061964
현대오일뱅크(주)직영 신목동셀프주유소,서울 양천구 목동동로10길 13,166.3702190175563
지에스칼텍스(주)직영태안점, ,166.26785373260154
송추주유소,경기 양주시 장흥면 호국로 513,165.93124146300673
북악주유소,서울 종로구 세검정로 419 (평창동),165.43963652378267
현대오일뱅크돈화문주유소,서울 종로구 율곡로 102 (와룡동),165.26865930776606
현대오일뱅크㈜직영 경기주유소,경기 용인시 기흥구 중부대로 312,165.2428838631861
(주)나부코직영광안주유소,부산광역시 수영구 광남로 176 (민락동),165.18671204946392
동일석유㈜직영 남부주유소,서울 강남구 선릉로 34,164.6645373207688
국제주유소,대구 동구 팔공로 376,164.55144281472917
휘경주유소,서울특별시 동대문구 망우로 126 (휘경동),164.36703978963584
SK에너지㈜ 훼미리주유소,충남 천안시 서북구 망향로 244,164.17448622485884
(주)삼표에너지 훼미리주유소,서울 송파구 중대로 58 (문정동),163.7029680082063
마산주유소, ,163.48941930284693
명성주유소,경기 파주시 법원읍 사임당로 935,161.9740972060386
송봉주유소,서울 송파구 오금로 142 (송파동),161.90002256478226
양지진흥개발(주)상계주유소,서울 노원구 노해로 527 (상계동),161.8823266525572
현대오일뱅크 지형주유소,인천 옹진군 대청면 대청로 222,161.73758473446017
고잔주유소,경기 안산시 단원구 적금로 114 (고잔동),161.73576393433234
성미산주유소,서울 마포구 월드컵북로 97 (성산동),161.16770715995904
동명주유소,대전 동구 한밭대로 1239 (용전동),160.97309484524837
연대앞점,서울특별시 서대문구 성산로 490 (대신동),159.89115016790547
(주)나부코직영 우원주유소,부산 영도구 태종로 181 (봉래동4가),159.4751511071565
삼미상사(주) 합정셀프주유소,경기 평택시 평택4로 28,159.4573406258306
GS넥스테이션(주)대일주유소,경기 성남시 분당구 양현로 312 (야탑동),159.14809851238684
뉴탑주유소,경기도 의정부시 평화로 451 (의정부동),158.99347910635873
지환주유소,충청북도 충주시 번영대로 66,158.52948383011676
(주)동림석유,경기 광명시 범안로 925 (하안동),157.87043642342263
현대오일뱅크㈜직영 동양주유소,경기 안산시 단원구 중앙대로 351 (신길동),157.83210884799587
광암에너지주유소,경기 하남시 초광로 75,157.02793287144058
현대오일뱅크㈜직영 동래주유소,부산 동래구 중앙대로 1371 (온천동),157.0030234668914
(주)태림석유샘터주유소,경기 군포시 번영로 606 (금정동),156.94932577685987
대정주유소,경기 성남시 수정구 산성대로 463 (단대동),156.90406058585683
SK에너지(주) 신평,서울 양천구 목동남로 62 (신정동),156.61804069288286
수산주유소,강원 홍천군 서면 한서로 754,156.58293644866944
(유)제일산업부안지점 현대주유소,전북 부안구 주산면 선돌로 407,156.4889772855425
sk네트웍스(주)삼성주유소,인천 연수구 비류대로 95 (옥련동),155.9679141706482
지에스칼텍스(주)국제공항터미널점,인천 중구 공항동로465번길 9,155.80720008818952
카젠주유소,서울 강남구 도산대로 163 (신사동),155.76402694273605
중앙(안산),경기 안산시 단원구 화정로 96 (와동),155.70229696409243
(주)삼표에너지 정릉주유소,서울 성북구 보국문로 35 (정릉동),155.63037312224134
풍국주유소,서울 성북구 동소문로 93 (동소문동6가),155.46713794217962
(주)삼표에너지 야탑주유소,경기 성남시 분당구 돌마로 910,155.37777227398624
신세기광장주유소,서울 영등포구 국회대로62길 9 (여의도동),155.18093787138775
CJ대한통운(주)직영 경기고속주유소, ,155.04046301876082
이에스주유소,경기 평택시 동삭로 363 (동삭동),155.02156742718182
세일석유(주)광장주유소,서울 영등포구 국회대로62길 9 (여의도동),154.99073751797897
GS칼텍스 영등포기린점,서울 영등포구 양평동4가 159-1,154.6599338650763
영광Self주유소,충남 공주시 정안면 정안중앙길 198,154.5954274377191
구인주유소,서울 구로구 경인로 558 (구로동),153.92969918032261
대성석유(주)비원주유소,서울 종로구 율곡로 96 (와룡동),153.74140601624882
안산제이주유소,경기 안산시 단원구 선부광장로 33 (선부동),153.452663737973
구서주유소,부산 금정구 중앙대로 1875 (구서동),153.11140263697754
새광명주유소,경기 광명시 시청로 115 (철산동),152.89313032079392
대성산업(주)직영제5주유소,서울특별시 구로구 경인로 650 (신도림동),152.79413634916006
분당공원주유소,경기 성남시 분당구 새마을로 27 (서현동),152.62855735390488
상동주유소,경기 부천시 원미구 송내대로 369 (상동),152.33600217185676
신월주유소,서울특별시 강동구 양재대로 1323 (성내동),152.20486060350524
대성산업(주)대영주유소,서울 영등포구 영등포동7가 62-13,152.12066696140496
신세기오일청룡주유소,서울 영등포구 국회대로 786 (여의도동),151.99758558447908
둔촌주유소,서울 강동구 양재대로 1382 (둔촌동),151.96110122017208
(주)청유주유소,부산 수영구 좌수영로 147 (망미동),151.91699191423407
한미주유소,서울 강동구 성내로 32 (성내동),151.21136438391497
선유도주유소,서울 영등포구 양평로 141 (양평동5가),151.19365287502833
대성산업(주)대영주유소,서울 영등포구 국회대로 632 (영등포동7가),151.1331214396107
