구분,고급휘발유,보통휘발유,자동차용경유,실내등유,보일러등유
16년03월3주,1439.65,1289.54,1057.02,549.04,-
16년03월4주,1447.69,1295.93,1059.08,556.26,-
16년03월5주,1435.32,1263.15,1006.06,520.96,-
16년04월1주,1435.18,1286.67,1027.65,538.11,-
16년04월2주,1426.47,1279.25,1022.79,528.00,-
16년04월3주,1425.08,1280.02,1033.34,531.69,-
16년04월4주,1440.01,1281.37,1045.97,548.32,-
16년05월1주,1447.60,1299.61,1066.43,570.17,-
16년05월2주,1457.18,1308.14,1085.66,582.14,-
16년05월3주,1463.87,1321.98,1104.40,595.79,-
16년05월4주,1480.49,1341.04,1117.86,608.08,-
16년06월1주,1438.64,1315.17,1087.98,581.65,-
16년06월2주,1522.73,1368.38,1154.21,660.42,-
16년06월3주,1495.58,1349.82,1145.62,632.17,-
16년06월4주,1495.16,1349.93,1151.51,639.56,-
16년06월5주,1475.27,1317.94,1117.38,608.89,-
16년07월1주,1497.97,1348.89,1155.54,640.00,-
16년07월2주,1480.66,1322.99,1138.92,620.88,-
16년07월3주,1441.22,1287.55,1106.69,593.30,-
16년07월4주,1408.53,1260.08,1067.77,574.40,-
16년08월1주,1427.83,1242.40,1054.03,557.24,-
16년08월2주,1417.89,1261.87,1063.16,571.90,-
16년08월3주,1408.83,1258.95,1061.29,573.13,-
16년08월4주,1470.30,1308.87,1102.83,587.83,-
16년08월5주,1462.60,1296.54,1077.92,568.34,-
16년09월1주,1483.77,1327.70,1102.37,595.29,-
16년09월2주,1483.74,1328.58,1083.81,585.54,-
16년09월3주,1477.23,1313.47,1079.98,581.91,-
16년09월4주,1462.02,1306.80,1060.86,565.15,-
16년10월1주,1523.07,1341.63,1102.60,598.50,-
16년10월2주,1522.88,1355.09,1123.69,624.55,-
16년10월3주,1519.33,1361.01,1138.01,634.28,-
16년10월4주,1510.15,1353.59,1134.18,623.47,-
16년11월1주,1533.84,1350.11,1131.74,628.46,-
16년11월2주,1518.02,1352.63,1136.44,614.49,-
16년11월3주,1464.01,1320.46,1110.84,595.78,-
16년11월4주,1479.97,1327.47,1110.77,599.42,-
16년11월5주,1501.74,1336.37,1115.73,607.45,-
16년12월1주,1529.40,1379.41,1155.62,648.34,-
16년12월2주,1549.52,1384.41,1162.10,658.83,-
16년12월3주,1552.75,1407.49,1185.46,684.04,-
16년12월4주,1573.14,1425.66,1203.90,702.45,-
17년01월1주,1623.05,1456.35,1230.58,729.81,-
17년01월2주,1624.95,1467.83,1241.74,728.93,-
17년01월3주,1596.02,1442.68,1224.66,713.11,-
17년01월4주,1560.01,1408.85,1171.57,670.25,-
17년02월1주,1552.03,1381.47,1153.71,644.05,-
17년02월2주,1552.20,1398.11,1174.16,663.32,-
17년02월3주,1548.05,1396.99,1177.89,665.08,-
17년02월4주,1588.65,1437.77,1215.69,705.28,-
17년03월1주,1557.73,1408.75,1194.63,679.82,-
17년03월2주,1564.89,1410.12,1209.88,695.57,-
17년03월3주,1552.33,1393.79,1184.96,674.56,-
17년03월4주,1506.62,1368.74,1151.16,641.00,-
17년03월5주,1485.80,1324.51,1109.49,582.49,-
17년04월1주,1539.03,1378.50,1163.07,640.45,-
17년04월2주,1555.31,1395.72,1180.25,642.80,-
17년04월3주,1561.76,1406.81,1188.88,667.02,-
17년04월4주,1557.36,1402.98,1181.57,668.09,-
17년05월1주,1561.37,1361.05,1137.79,603.66,-
17년05월2주,1510.62,1364.91,1148.65,629.16,-
